place_of_birth,year,age,white_male,white_female,non-white_male,non-white_female
,,5--9,"760,432","732,832","297,785","302,212"
,,10--19,"1,210,249","1,179,567","510,677","529,911"
,,20--29,"1,201,300","1,273,779","476,098","564,222"
,,30--39,"1,096,888","1,147,801","462,788","538,876"
,,40--49,"869,187","894,671","377,541","411,584"
,,50--59,"629,687","655,202","255,662","259,528"
,,60+,"693,406","794,868","248,270","270,628"
,,Total,"7,373,563","7,550,229","2,974,960","3,220,907"
,1960,10--14,"923,142","885,310","356,940","355,200"
,,15--19,"742,731","727,831","286,616","290,693"
,,20--29,"1,124,207","1,161,828","436,197","497,336"
,,30--39,"1,221,939","1,271,858","459,520","539,653"
,,40--49,"1,075,475","1,119,951","429,596","487,740"
,,50--59,"817,850","866,444","324,695","358,885"
,,60-69,"510,677","595,535","195,579","229,091"
,,70+,"350,631","470,665","121,801","151,446"
,,Total 10+,"6,766,652","7,099,422","2,610,944","2,910,044"
East South Central,1950,0--4,"530,776","513,733","191,465","190,846"
,,5--9,"469,858","451,522","170,593","171,929"
,,10--19,"837,610","824,001","301,038","312,255"
,,20--29,"816,074","861,048","266,072","309,440"
,,30--39,"766,251","793,921","262,979","302,334"
,,40--49,"661,524","672,118","233,983","251,927"
,,50--59,"494,251","504,284","167,715","165,517"
,,60+,"606,706","648,015","180,967","186,575"
,,Total,"5,183,050","5,268,642","1,774,812","1,890,823"
,1960,10--14,"538,502","517,754","193,553","190,853"
,,15--19,"453,481","442,926","159,284","162,285"
,,20--29,"765,768","795,916","244,611","285,957"
,,30--39,"825,753","854,745","251,188","292,712"
,,40--49,"751,273","771,982","245,178","275,834"
,,50--59,"619,881","644,179","207,199","223,125"
,,60-69,"411,265","459,645","134,800","149,334"
,,70+,"311,654","385,172","92,897","105,177"
,,Total 10+,"4,677,577","4,872,319","1,528,710","1,685,277"
West South Central,1950,0--4,"696,278","665,892","166,887","166,786"
,,5--9,"602,175","580,844","147,839","148,387"
,,10--19,"1,035,753","1,014,990","248,727","260,154"
,,20--29,"1,039,361","1,086,662","220,305","264,618"
,,30--39,"957,277","989,715","212,042","245,894"
,,40--49,"770,893","786,837","195,033","199,649"
,,50--59,"490,898","505,304","129,421","121,591"
,,60+,"422,749","475,910","125,621","129,434"
,,Total,"6,015,384","6,106,154","1,445,875","1,536,513"
,1960,10--14,"709,735","680,705","172,712","172,193"
,,15--19,"587,237","574,896","141,584","143,758"
,,20--29,"965,535","998,749","213,839","245,424"
,,30--39,"1,059,754","1,093,993","217,642","257,576"
,,40--49,"940,249","972,946","200,189","226,011"
,,50--59,"731,675","763,717","168,995","179,571"
,,60-69,"408,601","467,987","107,918","116,027"
,,70+,"237,793","315,444","67,274","77,208"
,,Total 10+,"5,640,579","5,868,437","1,290,153","1,417,768"
Mountain States,1950,0--4,"291,411","281,812","17,183","16,807"
,,5--9,"229,569","222,610","14,056","14,508"
,,10--19,"372,067","369,416","20,665","20,330"
,,20--29,"346,454","360,835","15,005","15,192"
,,30--39,"321,363","333,339","10,141","10,094"
,,40--49,"205,783","208,044","7,268","6,612"
,,50--59,"125,936","127,972","5,025","3,629"
,,60+,"87,634","96,167","5,764","4,874"
,,Total,"1,980,217","2,000,195","95,107","92,046"
,1960,10--14,"297,089","286,014","17,315","17,238"
,,15--19,"227,040","221,865","14,285","13,816"
,,20--29,"347,198","362,809","18,329","18,738"
,,30--39,"355,396","366,557","14,442","14,991"
,,40--49,"318,240","329,645","10,215","9,682"
,,50--59,"194,210","202,795","6,664","6,132"
,,60-69,"104,212","115,728","4,039","3,441"
,,70+,"51,514","66,119","3,166","2,586"
,,Total 10+,"1,894,899","1,951,532","88,455","86,624"
Pacific,1950,0--4,"708,837","687,207","42,529","41,212"
,,5--9,"496,101","474,575","17,402","17,550"
,,10--19,"571,444","555,981","22,974","22,142"
,,20--29,"500,986","514,675","26,162","26,649"
,,30--39,"384,823","387,926","16,850","14,986"
,,40--49,"246,108","251,094","6,688","5,307"
,,50--59,"157,064","165,697","3,668","2,364"
,,60+,"121,610","161,009","4,383","2,646"
,,Total,"3,186,973","3,198,164","140,656","132,856"
,1960,10--14,"719,251","694,305","44,671","43,578"
,,15--19,"488,011","476,649","18,899","18,975"
,,20--29,"543,220","552,617","24,962","25,179"
,,30--39,"508,297","519,755","30,913","30,061"
,,40--49,"379,598","390,762","18,955","16,764"
,,50--59,"235,989","244,550","6,934","5,671"
,,60-69,"132,074","153,199","3,379","2,525"
,,70+,"68,366","100,915","2,509","1,692"
,,Total 10+,"3,074,806","3,132,752","151,222","144,445"
