"year","ISO","ISO_No","Country_N","Adm_N","GID_1","HASC","PWC_Lat","PWC_Lon","Pop","Density","Area","PWD_A","PWD_G","PWD_M","PWD_D1","PWD_D2","PWD_D3","PWD_D4","PWD_D5","PWD_D6","PWD_D7","PWD_D8","PWD_D9","PWD_D10"
"2020","RUS","643","Russia","Ingush","RUS.17_1","RU.IN","43.2732124328613","44.9430541992188","432277","134.3","3219.5","1064.5","547.5","789.3","60.8","178.7","346.5","546.6","789.3","1035.9","1325.6","1757.2","2574.1","6128.4"
"2020","RUS","643","Russia","Irkutsk","RUS.18_1","RU.IK","53.9696846008301","103.276962280273","2334308","3.1","749108.4","1669.3","326.9","685.0","7.4","41.1","128.5","303.8","685.0","1191.4","1961.8","3281.0","5333.3","7981.5"
"2020","RUS","643","Russia","Ivanovo","RUS.19_1","RU.IV","57.0433731079102","41.3436813354492","1014478","44.6","22726.1","2746.0","879.7","1680.4","34.3","168.7","452.3","1074.2","1680.4","2413.2","3641.6","5471.5","8045.2","9805.2"
"2020","RUS","643","Russia","Kabardin-Balkar","RUS.20_1","RU.KB","43.5486831665039","43.6985740661621","826822","70.7","11692.5","2366.1","701.8","792.6","43.6","144.9","285.8","478.1","792.6","1812.0","2987.5","4617.5","6905.8","13855.8"
"2020","RUS","643","Russia","Kaliningrad","RUS.21_1","RU.KN","54.7256126403809","20.8317985534668","959216","71.2","13465.7","2239.5","733.2","1200.9","34.4","140.8","326.3","676.1","1200.9","1963.4","2983.6","4562.3","6271.4","9612.8"
"2020","RUS","643","Russia","Kalmyk","RUS.22_1","RU.KL","46.3991317749023","44.5744209289551","300142","4.1","73092.4","853.1","98.7","229.2","1.2","3.2","17.4","87.2","229.2","436.1","753.3","1565.7","3199.7","4614.4"
"2020","RUS","643","Russia","Kaluga","RUS.23_1","RU.KG","54.5727806091309","36.0048904418945","1018964","35.4","28817.0","1490.6","405.6","488.3","25.9","92.1","181.2","301.0","488.3","804.1","1360.6","2415.5","5152.5","9979.4"
"2020","RUS","643","Russia","Kamchatka","RUS.24_1","RU.KQ","53.6442756652832","158.882415771484","291660","0.6","451948.7","1662.9","236.0","697.5","0.9","23.7","116.9","294.1","697.5","1593.5","2474.6","3354.7","4579.7","8312.2"
"2020","RUS","643","Russia","Karachay-Cherkess","RUS.25_1","RU.KC","44.0154495239258","42.1333045959473","693028","46.2","14999.4","2482.0","758.0","954.7","41.9","187.3","357.4","556.3","954.7","1859.0","3744.3","5478.7","6630.0","12630.5"
"2020","RUS","643","Russia","Karelia","RUS.26_1","RU.KI","62.4525947570801","33.6384506225586","583407","4.1","142138.2","1880.6","182.6","263.4","2.0","9.0","35.9","107.6","263.4","710.6","2189.5","4247.2","6405.3","10038.7"
"2020","RUS","643","Russia","Kemerovo","RUS.27_1","RU.KE","54.6104698181152","86.6137619018555","2697483","28.4","94889.8","2199.3","716.0","1164.1","38.5","185.6","411.9","753.0","1164.1","1647.7","2349.4","3702.0","6375.6","11235.9"
"2020","RUS","643","Russia","Khabarovsk","RUS.28_1","RU.KH","49.3743629455566","136.142028808594","1288975","1.7","771475.8","2204.2","505.5","1326.6","8.7","87.4","289.1","703.6","1326.6","2058.0","3004.0","4356.5","5937.9","8479.1"
"2020","RUS","643","Russia","Khakass","RUS.29_1","RU.KK","53.5930709838867","90.7681655883789","349373","5.9","59100.7","955.2","159.5","222.7","3.3","21.0","58.3","121.5","222.7","422.9","842.7","1701.5","3485.5","6156.6"
"2020","RUS","643","Russia","Khanty-Mansiy","RUS.30_1","RU.KM","61.4684562683105","71.3100814819336","1666882","3.3","504442.6","400.4","68.8","88.0","2.3","8.7","22.8","47.7","88.0","159.0","317.4","684.0","1452.0","3097.0"
"2020","RUS","643","Russia","Kirov","RUS.31_1","RU.KV","58.3677215576172","49.7635726928711","1193276","10.1","118666.7","1415.8","274.8","516.7","4.2","30.1","120.9","279.6","516.7","882.6","1423.5","2496.1","4640.5","7878.5"
"2020","RUS","643","Russia","Komi","RUS.32_1","RU.KO","63.4981880187988","54.1653251647949","801524","1.9","411724.2","1106.3","117.2","210.9","1.1","7.7","33.7","90.9","210.9","458.0","900.7","1672.4","4151.9","7347.8"
"2020","RUS","643","Russia","Kostroma","RUS.33_1","RU.KT","58.0042991638184","42.1230201721191","612076","10.3","59456.2","2075.6","394.6","807.1","5.3","47.5","157.2","379.3","807.1","1314.4","2314.1","4606.2","7197.3","8385.4"
"2020","RUS","643","Russia","Krasnodar","RUS.34_1","RU.KD","45.0882263183594","39.2741355895996","5535593","73.9","74878.6","1416.7","474.6","584.5","33.8","124.5","244.1","391.5","584.5","880.6","1365.3","2201.5","4180.0","9258.8"
"2020","RUS","643","Russia","Krasnoyarsk","RUS.35_1","RU.KX","56.9275703430176","92.5316848754883","2944533","1.3","2252203.7","2497.2","480.5","1166.7","8.5","65.5","194.8","522.3","1166.7","1953.0","3236.4","5291.2","7994.4","11475.7"
"2020","RUS","643","Russia","Kurgan","RUS.36_1","RU.KU","55.5076751708984","64.7994384765625","823806","11.7","70227.6","1398.2","217.7","346.1","3.5","17.8","75.3","176.0","346.1","614.5","1141.5","2690.8","5075.4","8034.4"
"2020","RUS","643","Russia","Kursk","RUS.37_1","RU.KS","51.7322425842285","36.0224189758301","1051832","34.1","30802.4","1695.6","453.7","694.9","14.6","80.1","188.7","363.9","694.9","1275.3","2170.5","3711.4","5281.6","9192.4"
"2020","RUS","643","Russia","Leningrad","RUS.38_1","RU.LN","59.8903198242188","30.5984115600586","2250885","30.4","74017.2","2574.0","356.3","347.3","19.8","58.4","124.4","217.5","347.3","560.6","1030.5","2333.4","9817.2","36984.4"
"2020","RUS","643","Russia","Lipetsk","RUS.39_1","RU.LP","52.6013641357422","39.3477668762207","1173850","48.4","24276.7","1862.1","518.3","788.0","22.7","91.4","198.3","386.2","788.0","1493.3","2113.5","3582.3","5745.2","9434.9"
"2020","RUS","643","Russia","Maga Buryatdan","RUS.40_1","RU.MG","60.3559494018555","150.896255493164","134612","0.3","456639.9","936.4","72.9","153.8","0.3","3.4","18.1","60.0","153.8","395.8","948.0","2011.6","3623.8","4904.9"
"2020","RUS","643","Russia","Mariy-El","RUS.41_1","RU.ME","56.5298156738281","48.0905227661133","676340","29.6","22860.8","2816.9","539.8","784.9","12.6","52.3","162.6","343.9","784.9","2018.6","3759.9","6042.5","9188.3","12434.1"
"2020","RUS","643","Russia","Mordovia","RUS.42_1","RU.MR","54.260627746582","44.8230209350586","802622","30.8","26064.8","1407.0","332.1","435.3","12.3","59.2","142.0","258.1","435.3","755.9","1299.4","2153.6","4626.6","9382.4"
"2020","RUS","643","Russia","Moscow City","RUS.43_1","NA","55.739143371582","37.6309204101562","12154641","11313.9","1074.3","18962.9","15934.8","17767.9","7003.8","10286.0","12935.9","15286.7","17767.9","20203.1","23131.0","27336.8","32525.3","55843.2"
"2020","RUS","643","Russia","Moskva","RUS.44_1","RU.MS","55.6991577148438","37.7465476989746","9386447","203.6","46094.6","4892.2","1447.6","1781.2","117.3","278.8","511.6","957.8","1781.2","3013.6","5105.1","8824.4","13967.6","44283.6"
"2020","RUS","643","Russia","Murmansk","RUS.45_1","RU.MM","68.5297622680664","32.9839172363281","713765","5.3","134861.6","2158.1","351.3","536.3","8.1","38.3","93.4","212.1","536.3","1264.0","2659.4","4738.6","7663.0","9682.7"
"2020","RUS","643","Russia","Nenets","RUS.46_1","RU.NN","67.5944900512695","53.1459808349609","39397","0.2","168550.6","1222.0","60.0","375.0","0.1","0.8","3.9","31.0","375.0","1000.9","1614.2","2571.4","3802.3","6272.3"
"2020","RUS","643","Russia","Nizhegorod","RUS.47_1","RU.NZ","56.1266593933105","43.9516754150391","3155533","42.8","73719.2","5609.2","835.3","1100.0","35.9","140.3","294.8","536.9","1100.0","2189.7","3984.2","6623.9","10494.4","158077.9"
"2020","RUS","643","Russia","North Ossetia","RUS.48_1","RU.NO","43.1227149963379","44.5766944885254","691622","97.6","7083.1","3042.2","957.0","1051.5","70.5","215.2","401.2","644.3","1051.5","2324.1","3776.4","6082.3","9500.8","15351.9"
"2020","RUS","643","Russia","Novgorod","RUS.49_1","RU.NG","58.3933753967285","32.1501846313477","601413","11.1","53958.8","2017.7","296.2","396.0","5.2","28.5","98.8","212.0","396.0","841.1","1791.8","4051.4","7894.8","10942.9"
"2020","RUS","643","Russia","Novosibirsk","RUS.50_1","RU.NS","54.9377021789551","82.1351089477539","2731185","16.0","170897.4","3594.7","809.6","1995.2","18.2","88.6","258.4","955.3","1995.2","3186.8","5231.3","7858.0","10520.7","12102.9"
"2020","RUS","643","Russia","Omsk","RUS.51_1","RU.OM","55.1126823425293","73.3589096069336","1921707","14.0","137052.4","2592.0","558.6","1281.7","11.3","60.9","171.1","577.1","1281.7","2189.4","3983.3","5752.0","7360.1","9644.5"
"2020","RUS","643","Russia","Orel","RUS.52_1","RU.OL","52.8602638244629","36.3782119750977","727826","30.0","24230.9","2849.6","627.8","1175.0","11.4","85.8","236.7","516.7","1175.0","2273.9","3983.2","5916.2","7346.2","26972.0"
"2020","RUS","643","Russia","Orenburg","RUS.53_1","RU.OB","51.9013671875","55.6133460998535","1936943","15.7","123698.1","1867.8","345.3","527.2","7.3","42.4","119.4","265.4","527.2","1048.9","1942.9","3566.9","6412.4","9888.9"
"2020","RUS","643","Russia","Penza","RUS.54_1","RU.PZ","53.1691513061523","44.9418716430664","1347404","31.7","42523.3","2083.2","506.5","777.5","14.2","76.8","192.9","389.5","777.5","1589.9","2799.4","4369.9","6312.3","9898.0"
"2020","RUS","643","Russia","Perm'","RUS.55_1","RU.PE","58.1292190551758","56.2360992431641","2495335","15.8","157613.4","1150.0","321.9","555.6","10.3","58.5","165.3","320.9","555.6","871.2","1360.4","2092.4","3178.4","13702.1"
"2020","RUS","643","Russia","Primor'ye","RUS.56_1","RU.PR","43.6854248046875","132.570663452148","1886327","11.7","161135.7","2322.5","539.0","1052.1","10.4","84.3","255.1","536.5","1052.1","1813.9","2942.5","4359.1","7442.2","10250.3"
"2020","RUS","643","Russia","Pskov","RUS.57_1","RU.PS","57.2267684936523","29.1051845550537","598576","11.5","52268.4","1653.6","299.1","637.0","3.5","17.3","123.5","315.2","637.0","1314.6","2078.1","3085.1","4855.7","9459.8"
"2020","RUS","643","Russia","Rostov","RUS.58_1","RU.RO","47.498851776123","40.2585067749023","4267526","43.3","98665.4","2713.5","733.0","1237.1","29.2","126.1","274.5","579.7","1237.1","2218.1","3675.8","5419.8","7937.8","14473.3"
"2020","RUS","643","Russia","Ryazan'","RUS.59_1","RU.RZ","54.4487152099609","40.1320037841797","1112033","28.3","39258.3","2256.2","503.4","862.5","16.6","72.5","161.0","343.7","862.5","1612.6","2580.2","4382.9","7253.5","11234.3"
"2020","RUS","643","Russia","Sakha","RUS.60_1","RU.SK","62.195686340332","126.749397277832","1005550","0.3","2968893.8","504.5","31.5","58.7","0.2","1.2","5.8","20.6","58.7","131.0","281.0","772.4","1779.0","4524.1"
"2020","RUS","643","Russia","Sakhalin","RUS.61_1","RU.SL","47.9120903015137","142.844268798828","459335","5.5","84121.3","1092.4","189.3","300.6","4.0","20.3","70.2","159.6","300.6","541.7","1033.8","2172.4","4051.6","5471.1"
"2020","RUS","643","Russia","Samara","RUS.62_1","RU.SA","53.3188552856445","49.9766387939453","3316623","64.4","51495.3","3910.1","1332.1","2337.0","65.8","263.1","780.5","1468.7","2337.0","3619.1","5495.1","7903.6","10348.2","14161.1"
"2020","RUS","643","Russia","Saratov","RUS.63_1","RU.SR","51.6307182312012","46.2597961425781","2434987","24.8","98264.4","2253.0","468.5","726.1","11.3","61.6","172.7","362.0","726.1","1402.9","2498.4","4289.3","7792.8","14148.2"
"2020","RUS","643","Russia","Smolensk","RUS.64_1","RU.SM","54.8432006835938","32.7542114257812","943082","19.3","48930.7","3064.4","480.1","574.9","8.0","55.7","155.1","305.3","574.9","1334.3","3964.4","6805.7","10119.6","16484.6"
"2020","RUS","643","Russia","Stavropol'","RUS.65_1","RU.ST","44.6692695617676","42.8936767578125","2864123","43.0","66626.5","1778.6","490.0","663.1","19.0","95.4","222.0","401.8","663.1","1146.2","2030.2","3410.2","5624.3","10815.8"
"2020","RUS","643","Russia","Sverdlovsk","RUS.66_1","RU.SV","57.3392524719238","60.7483749389648","4224919","22.1","190945.2","2122.5","629.3","907.1","38.7","139.2","298.0","545.7","907.1","1486.0","2344.6","3992.7","6773.6","9991.4"
"2020","RUS","643","Russia","Tambov","RUS.67_1","RU.TB","52.7139778137207","41.4678611755371","1029517","30.3","33985.3","2819.7","571.7","961.1","10.6","70.2","172.7","352.8","961.1","2323.6","4086.0","6562.2","8808.6","12153.8"
"2020","RUS","643","Russia","Tatarstan","RUS.68_1","RU.TT","55.5454864501953","50.7444496154785","3970113","61.0","65044.2","2694.3","712.8","1035.9","30.2","119.7","264.4","505.7","1035.9","1897.3","3230.5","5706.7","8752.4","11679.9"
"2020","RUS","643","Russia","Tomsk","RUS.69_1","RU.TO","56.9845848083496","84.3147888183594","1087755","3.5","309731.0","2930.3","547.8","1485.0","3.9","65.1","271.4","789.9","1485.0","2548.1","4424.1","6396.0","8493.8","9605.7"
"2020","RUS","643","Russia","Tula","RUS.70_1","RU.TL","54.0444793701172","37.7265625","1458676","57.7","25284.7","2114.2","576.6","724.7","35.3","112.8","212.1","395.2","724.7","1354.7","2244.2","3950.0","6889.5","13351.0"
"2020","RUS","643","Russia","Tuva","RUS.71_1","RU.TU","51.4391479492188","93.4850997924805","322284","1.9","166934.5","861.8","76.7","151.6","1.0","2.5","11.3","44.5","151.6","347.0","766.0","1501.5","3187.7","6217.1"
"2020","RUS","643","Russia","Tver'","RUS.72_1","RU.TV","56.9822311401367","35.4415740966797","1286183","15.6","82683.9","1797.4","359.4","603.9","6.7","44.2","137.4","296.2","603.9","1144.6","2007.3","3754.6","5856.8","8975.8"
"2020","RUS","643","Russia","Tyumen'","RUS.73_1","RU.TY","57.0490837097168","66.7909774780273","1456020","9.5","154046.1","2300.1","473.1","832.8","8.0","59.8","204.3","460.6","832.8","1600.8","3009.3","4996.7","7509.6","9486.6"
"2020","RUS","643","Russia","Udmurt","RUS.74_1","RU.UD","56.9798889160156","53.1374702453613","1501585","36.4","41207.5","3042.0","817.4","1641.6","16.2","138.3","361.2","853.6","1641.6","2925.2","4480.3","6244.9","8645.5","10935.1"
"2020","RUS","643","Russia","Ul'yanovsk","RUS.75_1","RU.UL","54.1374130249023","48.3021621704102","1234852","35.6","34677.3","1878.7","515.7","780.4","24.9","90.0","188.6","375.7","780.4","1477.9","2462.8","3934.6","5511.6","10441.0"
"2020","RUS","643","Russia","Vladimir","RUS.76_1","RU.VL","56.0656623840332","40.6152687072754","1379570","47.8","28841.0","1946.7","533.2","734.7","28.9","99.1","201.2","383.5","734.7","1313.1","2190.5","3636.7","6135.7","11532.2"
"2020","RUS","643","Russia","Volgograd","RUS.77_1","RU.VG","49.1749267578125","44.3350639343262","2597137","23.9","108807.9","2140.9","594.4","1343.9","15.1","91.9","262.5","663.0","1343.9","2078.2","3002.9","4367.3","5801.6","9507.4"
"2020","RUS","643","Russia","Vologda","RUS.78_1","RU.VO","59.4594917297363","39.6502304077148","1166338","8.3","140244.9","2744.3","393.7","869.1","4.9","27.9","99.4","260.1","869.1","2007.0","3633.1","6171.1","9363.8","11131.2"
"2020","RUS","643","Russia","Voronezh","RUS.79_1","RU.VR","51.2884292602539","39.761848449707","2351068","45.8","51344.2","2292.6","537.0","588.9","24.0","100.5","200.1","333.8","588.9","1240.2","2435.2","4875.3","7954.1","10930.8"
"2020","RUS","643","Russia","Yamal-Nenets","RUS.80_1","RU.YN","65.362907409668","74.2428894042969","567124","0.9","640478.0","317.9","32.4","43.9","0.6","3.0","9.1","22.1","43.9","82.9","158.1","401.8","1223.4","3306.8"
"2020","RUS","643","Russia","Yaroslavl'","RUS.81_1","RU.YS","57.654956817627","39.4734230041504","1222209","38.0","32132.8","16328.6","1618.3","2458.6","34.0","165.4","554.9","1476.3","2458.6","4051.9","6754.8","10011.5","75691.0","187630.4"
"2020","RUS","643","Russia","Yevrey","RUS.82_1","RU.YV","48.6167831420898","132.659088134766","161074","4.6","35223.2","878.7","139.8","248.9","1.9","11.4","52.1","126.5","248.9","475.1","885.2","1642.3","2965.2","5400.2"
"2020","RUS","643","Russia","Zabaykal'ye","RUS.83_1","RU.ZB","51.5432662963867","114.764221191406","1088134","2.5","426908.1","598.8","77.3","108.3","1.6","7.2","20.4","47.5","108.3","221.6","465.2","983.7","1943.8","5156.6"
"2020","IDN","360","Indonesia","Aceh","IDN.1_1","ID.AC","4.60304355621338","96.8035278320312","4679855","82.1","56992.6","654.2","251.3","251.0","34.2","67.5","107.3","163.1","251.0","420.0","655.0","1015.8","1802.3","7026.2"
"2020","IDN","360","Indonesia","Bali","IDN.2_1","ID.BA","-8.49813365936279","115.189506530762","4725252","841.5","5615.0","3688.9","1879.3","1803.3","337.2","564.4","870.8","1339.2","1803.3","3038.2","4436.0","6807.8","10657.1","14995.2"
"2020","IDN","360","Indonesia","Bangka Belitung","IDN.3_1","ID.BB","-2.33503127098083","106.411598205566","1603317","95.3","16826.5","642.7","202.6","146.2","40.2","61.1","85.1","113.5","146.2","200.2","333.0","752.9","2039.1","7032.4"
"2020","IDN","360","Indonesia","Banten","IDN.4_1","ID.BT","-6.25501775741577","106.410774230957","13730684","1473.7","9317.3","6339.5","3762.1","5241.5","604.9","1210.5","2200.0","3577.3","5241.5","7435.2","9345.9","11247.1","13706.4","25984.7"
"2020","IDN","360","Indonesia","Bengkulu","IDN.5_1","ID.BE","-3.68539595603943","102.396774291992","1809471","90.1","20080.6","951.3","240.2","162.2","40.2","65.5","92.1","122.8","162.2","220.2","445.8","1324.5","3597.9","9050.7"
"2020","IDN","360","Indonesia","Gorontalo","IDN.6_1","ID.GO","0.607037544250488","122.781326293945","1254821","103.9","12073.7","1997.3","439.6","328.9","43.3","79.9","127.5","189.7","328.9","674.0","1667.4","3130.9","7151.0","15101.0"
"2020","IDN","360","Indonesia","Jakarta Raya","IDN.7_1","ID.JK","-6.20586204528809","106.831069946289","10345399","15972.2","647.7","17606.5","17005.9","17144.1","12406.7","14406.2","15557.4","16391.6","17144.1","18022.7","19213.5","21349.9","24580.6","27098.1"
"2020","IDN","360","Indonesia","Jambi","IDN.8_1","ID.JA","-1.65633237361908","102.847717285156","3851060","79.0","48762.6","1389.0","237.1","136.6","32.4","53.7","76.2","101.5","136.6","198.3","435.0","1519.5","6025.4","13381.5"
"2020","IDN","360","Indonesia","Jawa Barat","IDN.9_1","ID.JR","-6.73390007019043","107.466705322266","50873707","1386.8","36683.9","6746.8","3219.1","3383.9","536.9","918.3","1412.7","2076.1","3383.9","5367.6","8000.5","11950.6","17569.4","36710.4"
"2020","IDN","360","Indonesia","Jawa Tengah","IDN.10_1","ID.JT","-7.23072099685669","110.146949768066","32563754","965.7","33718.8","2366.8","1494.7","1408.1","442.4","676.4","892.5","1134.3","1408.1","1730.7","2244.0","3718.1","6096.2","22233.3"
"2020","IDN","360","Indonesia","Jawa Timur","IDN.11_1","ID.JI","-7.6505298614502","112.66478729248","38952013","813.9","47860.3","2781.0","1490.0","1314.3","370.5","613.1","832.2","1063.3","1314.3","1645.7","2564.1","4330.8","7494.2","17676.5"
"2020","IDN","360","Indonesia","Kalimantan Barat","IDN.12_1","ID.KB","0.149627089500427","110.011825561523","5071849","34.6","146668.8","750.8","124.5","83.3","15.7","27.4","41.1","58.4","83.3","132.8","237.2","651.9","2725.1","9194.4"
"2020","IDN","360","Indonesia","Kalimantan Selatan","IDN.13_1","ID.KS","-3.1164436340332","115.132865905762","4337444","116.1","37356.3","2115.5","403.5","274.6","48.3","82.6","124.5","181.6","274.6","458.1","888.8","2465.1","9557.2","17030.2"
"2020","IDN","360","Indonesia","Kalimantan Tengah","IDN.14_1","ID.KT","-2.0180356502533","113.372627258301","2674258","17.4","153417.1","134.5","41.5","37.8","7.4","13.2","19.5","27.5","37.8","51.3","71.2","113.9","304.5","3445.2"
"2020","IDN","360","Indonesia","Kalimantan Timur","IDN.15_1","ID.KM","0.235648691654205","116.989547729492","5010056","25.5","196213.1","1952.6","287.3","304.8","11.1","27.2","55.9","117.5","304.8","790.1","1689.7","4463.8","6911.9","13737.8"
"2020","IDN","360","Indonesia","Kepulauan Riau","IDN.16_1","ID.KR","1.07744824886322","104.229507446289","2776975","321.0","8651.1","3456.6","1651.3","2394.7","142.1","466.2","984.9","1733.1","2394.7","3773.3","5067.9","6352.9","8023.0","13958.0"
"2020","IDN","360","Indonesia","Lampung","IDN.17_1","ID.LA","-5.11987066268921","105.159233093262","8475185","253.7","33403.2","1584.7","560.3","454.1","109.9","182.5","250.0","337.0","454.1","629.6","937.7","1713.1","5648.0","13368.4"
"2020","IDN","360","Indonesia","Maluku","IDN.19_1","ID.MA","-4.12723302841187","129.176132202148","2053155","43.8","46835.8","1770.8","200.1","109.9","16.2","29.4","47.6","69.4","109.9","199.9","614.0","2495.4","7082.1","18409.0"
"2020","IDN","360","Indonesia","Maluku Utara","IDN.18_1","ID.MU","0.317980885505676","127.394348144531","1575760","49.2","32040.1","999.6","137.3","99.4","19.4","33.7","51.3","72.1","99.4","134.7","197.6","477.5","2507.0","16085.1"
"2020","IDN","360","Indonesia","Nusa Tenggara Barat","IDN.20_1","ID.NB","-8.60830497741699","116.836029052734","5091966","256.1","19882.0","1878.9","779.6","935.0","99.5","221.3","397.1","651.2","935.0","1252.4","1591.0","2304.4","5247.1","13667.0"
"2020","IDN","360","Indonesia","Nusa Tenggara Timur","IDN.21_1","ID.NT","-9.2458553314209","122.333549499512","5565071","118.7","46883.1","757.0","211.8","160.0","58.0","81.8","104.5","129.5","160.0","200.0","264.5","418.0","1625.3","14113.2"
"2020","IDN","360","Indonesia","Papua","IDN.23_1","ID.PA","-4.0588436126709","138.222030639648","6531980","21.0","311243.6","364.4","75.5","69.8","8.5","20.3","33.3","49.6","69.8","100.7","152.1","257.7","691.0","8867.5"
"2020","IDN","360","Indonesia","Papua Barat","IDN.22_1","ID.IB","-1.44879996776581","132.531967163086","1404516","14.2","98874.0","545.4","69.2","47.6","5.6","11.7","19.2","30.6","47.6","78.1","148.8","668.4","1713.2","8537.5"
"2020","IDN","360","Indonesia","Riau","IDN.24_1","ID.RI","0.612847626209259","101.582176208496","7999169","89.1","89731.8","878.3","234.9","155.8","38.4","59.7","84.6","114.0","155.8","245.7","499.5","1226.8","3224.4","9525.5"
"2020","IDN","360","Indonesia","Sulawesi Barat","IDN.25_1","ID.SR","-2.69730639457703","119.218078613281","1629332","98.2","16589.8","519.9","206.5","188.2","41.2","71.2","105.7","144.3","188.2","253.9","351.9","539.4","1300.3","6803.7"
"2020","IDN","360","Indonesia","Sulawesi Selatan","IDN.26_1","ID.SE","-4.51516962051392","119.866775512695","8973175","203.8","44027.9","2815.9","672.0","445.7","94.2","157.8","219.9","293.7","445.7","766.6","1466.2","4925.3","11372.5","18873.4"
"2020","IDN","360","Indonesia","Sulawesi Tengah","IDN.27_1","ID.ST","-0.75388514995575","120.936187744141","3225771","52.7","61258.3","517.2","133.2","107.7","20.7","33.3","51.7","75.7","107.7","157.2","234.8","506.0","1494.7","6149.9"
"2020","IDN","360","Indonesia","Sulawesi Tenggara","IDN.28_1","ID.SG","-4.44298648834229","122.2685546875","2946559","79.8","36913.5","1014.3","225.6","163.8","37.0","63.4","91.7","125.7","163.8","215.2","330.3","891.3","3637.5","12069.5"
"2020","IDN","360","Indonesia","Sulawesi Utara","IDN.29_1","ID.SW","1.43311440944672","124.810859680176","2741945","187.2","14643.3","1537.4","566.5","535.9","79.7","140.8","209.3","326.4","535.9","906.5","1545.1","2559.3","4787.8","12062.2"
